No,Kode,Makanan,Air(g),Energi(Kal),Protein(g),Lemak(g),Karbohidrat(g),Serat(g),Abu(g),Kalsium(mg),Fosfor(mg),Besi(mg),Natrium(mg),Kalium(mg),Tembaga(mg),Seng(mg),Retinol (mcg),β-karoten(mcg),Karoten total(mcg),Vit B1(mg),Vit B2(mg),Niasin(mg),Vitamin C(mg),BDD(%),Mentah/Olahan,Kelompok Makanan,Sumber TKPI 2019,Utama/Snack
789,FP051,"Kalio kikil (tunjang), masakan",75.3,122,13.8,5.7,3.9,-,1.3,154,59,3.4,519,-,-,-,36,-,1440,0.38,-,-,-,100,Olahan,Daging,KZGMS-1993,Utama
790,FP052,"Kalio otak, masakan",70.3,157,8.1,8.8,11.4,-,1.4,212,69,3.3,604,-,-,-,32,-,1040,0.45,-,-,-,100,Olahan,Daging,KZGMS-1993,Utama
793,FP055,"Lawara jangang, masakan",72.4,159,5,10.9,10.1,-,1.6,57,107,1.5,400,2368,0.1,1,14,-,-,0.25,0.16,-,-,100,Olahan,Daging,KZGMI-2001,Utama
794,FP056,"Naan maran sapi, masakan",14.8,478,38.3,33.9,5.1,-,7.9,30,390,11.8,220,320,0.6,3.9,33,-,-,-,-,0.2,-,100,Olahan,Daging,KZGMI-2001,Utama
795,FP057,"Nasu likku, masakan",59,196,14.5,8.3,15.9,-,2.3,69,157,1,386,470,0.3,2,-,-,-,0.2,0.24,1.5,-,100,Olahan,Daging,KZGMI-2001,Utama
798,FP060,"Pelolah manuk, masakan",60,219,19.7,13.6,4.4,-,2.3,33,160,1.6,577,-,-,-,137,-,1940,0.42,-,-,-,100,Olahan,Daging,KZGMI-2001,Utama
799,FP061,"Rawon, masakan",86,60,5.4,2.5,4,0.3,1.7,272,153,3.3,-,-,-,-,11,-,1235,0.09,-,-,-,100,Olahan,Daging,KZGPI-1990,Utama
800,FP062,"Rendang sapi, masakan",57.9,193,22.6,7.9,7.8,-,3.8,474,211,14.9,-,-,-,-,21,-,534,0.12,-,-,-,100,Olahan,Daging,KZGPI-1990,Utama
803,FP065,"Sate pusut, masakan",52.1,274,12.9,18.6,13.6,-,2.8,63,190,2.7,609,-,-,-,133,-,-,0.06,-,-,-,100,Olahan,Daging,KZGMI-2001,Utama
805,FP067,"Sie reuboh, masakan",32.4,474,11.2,42.5,11.7,-,2.2,26,62,1.3,677,176,2.4,3.2,141,9,-,0.46,0.26,-,-,100,Olahan,Daging,KZGMI-2001,Utama
806,FP068,"Sop buntut, masakan",86.1,71,7.5,3.6,2.2,-,0.6,286,38,3.2,490,-,-,-,119,-,2900,0.14,-,-,-,100,Olahan,Daging,KZGMS-1993,Utama
807,FP069,"Sop daging sapi, masakan",87.5,49,5.8,0.5,5.3,-,0.9,158,48,2.2,391,-,-,-,101,-,3320,0.37,-,-,-,100,Olahan,Daging,KZGMS-1993,Utama
808,FP070,"Sop kaki sapi, masakan",84.5,68,9,1.9,3.7,-,0.9,302,15,2.2,435,-,-,-,48,-,150,0.46,-,-,-,100,Olahan,Daging,KZGMS-1993,Utama
809,FP071,"Sop kambing, masakan",91.6,34,5.5,0.8,1.1,-,1,145,37,1.6,348,-,-,-,48,-,80,0.57,-,-,-,100,Olahan,Daging,KZGMS-1993,Utama
810,FP072,"Sop konro, masakan",85,71,7.4,2.6,4.5,-,0.5,17,60,4.6,184,25,0.3,1.3,-,-,-,0.12,0.02,10.9,-,100,Olahan,Daging,KZGMI-2001,Utama
811,FP073,"Sop saudara, masakan",82.4,89,7.2,5,3.9,-,1.5,10,174,9,274,50,0.2,1.1,-,-,-,0.09,0.12,2,-,100,Olahan,Daging,KZGMI-2001,Utama
812,FP074,"Soto bandung, masakan",89.9,42,3.9,1.7,2.8,0.4,1.8,74,75,1.8,-,-,-,-,6,20,0.1,-,-,-,-,100,Olahan,Daging,KZGPI-1990,Utama
813,FP075,"Soto banjar, masakan",83.7,110,2.9,9.5,3.2,-,0.7,28,28,0.3,36,6,-,0.2,12,-,770,0.05,-,-,-,100,Olahan,Daging,KZGMI-2001,Utama
814,FP076,"Soto betawi, masakan",75.9,135,2.5,8.8,11.5,0.5,1.3,222,72,1.9,-,-,-,-,6,-,336,0.04,-,-,-,100,Olahan,Daging,KZGPI-1990,Utama
815,FP077,"Soto jeroan, masakan",81.4,92,11.8,4.3,1.4,-,1.1,218,48,1.9,363,-,-,-,85,-,440,0.36,-,-,-,100,Olahan,Daging,KZGMS-1993,Utama
816,FP078,"Soto kudus, masakan",91.6,38,2.6,2.3,1.8,0.2,1.7,237,67,1.7,-,-,-,-,23,-,128,0.06,-,0.5,-,100,Olahan,Daging,KZGPI-1990,Utama
817,FP079,"Soto madura, masakan",89.8,60,3.5,4.5,1.3,-,0.9,361,126,3.8,-,-,-,-,26,-,121,0.06,-,-,-,100,Olahan,Daging,KZGPI-1990,Utama
818,FP080,"Soto padang, masakan",75,127,5.9,6.6,11,0.7,2,298,94,1.5,-,-,-,-,12,-,204,0.22,-,-,-,100,Olahan,Daging,KZGPI-1990,Utama
819,FP081,"Soto pekalongan, masakan",83.8,94,3,6.8,5.1,0.3,1.3,322,79,2,-,-,-,-,14,-,119,0.29,-,-,-,100,Olahan,Daging,KZGPI-1990,Utama
820,FP082,"Soto pemalang, masakan",86,75,3.6,5.2,3.5,-,1.7,170,80,2.1,-,-,-,-,16,-,30,0.13,-,-,-,100,Olahan,Daging,KZGPI-1990,Utama
821,FP083,"Soto sukaraja, masakan",75.9,80,3.2,3.5,9,0.3,1.1,347,77,2.3,-,-,-,-,12,-,89,0.04,-,-,-,100,Olahan,Daging,KZGPI-1990,Utama
822,FP084,"Soto sulung, masakan",88.1,86,2.3,8.5,-,-,1.1,200,120,2.9,-,-,-,-,20,-,105,0.08,-,-,-,100,Olahan,Daging,KZGPI-1990,Utama
823,FP085,"Sukiyaki, masakan",81,75,5.6,0.4,12.2,0.2,0.8,109,59,0.5,426,-,-,-,41,-,1200,0.37,-,-,-,100,Olahan,Daging,KZGMS-1993,Utama
824,FP086,"Tedong pallu basa, masakan",81.7,83,10.4,3.4,2.8,-,1.7,10,139,2.6,397,34,0.6,1.3,-,-,-,0.09,0.53,9,-,100,Olahan,Daging,KZGMI-2001,Utama
826,FP088,"Tinoransa, masakan",31.6,516,17.7,49.5,-,-,1.2,698,648,3.5,1307,320,0.1,1.8,710,-,-,0.29,0.17,-,-,100,Olahan,Daging,KZGMI-2001,Utama
862,GP002,"Belut, goreng",11.2,417,25.9,19.4,32,-,11.5,840,872,4.9,71,217.7,0.3,1.8,-,-,-,-,0.2,10.5,-,-,Olahan,Ikan dsb,KZGPI-1990,Utama
863,GP003,"Cumi-cumi, goreng",54.2,265,40.6,10.1,-,-,3.1,62,270,2.7,86,81.9,-,-,-,56,-,0.09,-,6.3,-,-,Olahan,Ikan dsb,KZGPI-1990,Utama
865,GP005,"Ikan bandeng presto, masakan",45.3,296,17.1,20.3,11.3,-,6,1422,659,1.9,-,-,-,-,6,-,400,0.14,-,-,69,100,Olahan,Ikan dsb,KZGPI-1990,Utama
867,GP007,Ikan Belida bakar,68.2,128,18,3,7.2,-,3.6,58,134,-,293,198,0.1,0.4,-,-,-,1.8,0.17,1.5,-,-,Olahan,Ikan dsb,KZGMI-2001,Utama
873,GP013,"Ikan gete, goreng",44.7,267,23.1,19.4,0.2,-,12.6,2340,1240,0.8,590,440,0.1,1.9,-,-,-,-,-,0.2,-,-,Olahan,Ikan dsb,KZGMI-2001,Utama
877,GP017,Ikan Lais bakar,69.4,147,17.5,6.5,5.4,-,1.2,54,194,0.1,142,209,-,0.5,-,-,-,-,-,-,-,-,Olahan,Ikan dsb,KZGMI-2001,Utama
879,GP019,Ikan Mas pepes,57.5,209,15.2,11.3,11.8,0.5,4.3,686,530,6.1,74,276.7,0.1,1.9,3,-,315,0.13,0.1,2.4,-,100,Olahan,Ikan dsb,KZGPI-1990,Utama
880,GP020,Ikan mujahir goreng,44.7,416,46.9,23.9,-,-,2.2,346,654,0.9,54,278.9,-,0.2,12,3,8,0.12,0.1,2.2,-,100,Olahan,Ikan dsb,KZGPI-1990,Utama
881,GP021,Ikan Mujahir pepes,73.7,121,21.7,2.8,0.8,-,1,83,248,1.6,58,265.8,-,0.3,8,-,6,-,0.1,1.9,-,100,Olahan,Ikan dsb,KZGPI-1990,Utama
883,GP023,"Ikan Papuyu, bakar",66.6,152,17.6,6.1,6.7,-,3,244,227,3.4,320,224,0.2,1,-,-,-,-,-,-,9,-,Olahan,Ikan dsb,KZGMI-2001,Utama
884,GP024,"Ikan Patin, bakar",70.3,144,17.5,6.3,4.3,-,1.6,191,232,1.4,379,230,0.1,0.7,-,-,-,-,-,-,-,-,Olahan,Ikan dsb,KZGMI-2001,Utama
893,GP033,"Ikan sanggang, masakan",42.6,240,21.7,7.7,20.7,-,7.3,159,362,9.8,2041,159,1.5,8.8,-,-,-,0.51,0.02,-,-,-,Olahan,Ikan dsb,KZGMI-2001,Utama
908,GP048,Rusip,58.5,110,11.5,2,11.7,-,16.3,479,348,7.1,-,-,-,-,-,-,-,0.04,-,-,-,100,Olahan,Ikan dsb,KZGPI-1990,Utama
909,GP049,Sardines dalam kaleng,47.1,338,21.1,27,1,-,3.8,354,434,3.5,-,-,-,-,76,-,-,0.1,-,-,-,-,Olahan,Ikan dsb,DABM-60/64,Utama
913,GP053,Abon haruwan,11.6,513,23.7,37,21.3,-,6.4,25,25,0.5,61,15,-,0.2,-,-,-,-,-,-,-,100,Olahan,Ikan dsb,KZGMI-2001,Utama
918,GP058,Cakalang asar (asap papua),64.3,155,20.1,3.8,10.2,-,1.6,20,240,2.1,90,390,0.3,0.1,86,-,-,-,0.7,0.2,-,-,Olahan,Ikan dsb,KZGMI-2001,Utama
919,GP059,"Dendeng belut, goreng",8.2,382,55.7,14.1,8,-,14,1069,654,15.4,-,-,-,-,28,-,1480,0.48,-,-,-,-,Olahan,Ikan dsb,KZGPI-1990,Utama
920,GP060,"Dendeng mujahir, goreng",6.5,598,74.3,26.9,9.2,-,13.1,1957,1447,7.4,-,-,-,-,18,-,25,0.19,-,-,-,-,Olahan,Ikan dsb,KZGPI-1990,Utama
921,GP061,Fillet o-fish,51,270,12.3,15.9,19.3,0.2,1.5,239,272,1.8,439,-,-,-,34,-,580,0.59,-,-,-,-,Olahan,Ikan dsb,KZGMS-1993,Utama
922,GP062,"Gete kuah asam, masakan",80.1,75,8.2,2,6,-,3.8,1620,880,0.8,260,150,0.1,1.5,-,-,-,-,-,0.1,-,-,Olahan,Ikan dsb,KZGMI-2001,Utama
923,GP063,"Gulai asam keueung, masakan",86,52,10,0.5,1.8,-,1.7,62,102,0.3,332,141,-,1,-,-,-,0.18,0.34,-,-,-,Olahan,Ikan dsb,KZGMI-2001,Utama
924,GP064,"Gulai ikan paya, masakan",72.1,148,10,9.8,5,-,3.1,103,82,0.7,525,256,0.1,0.9,-,-,-,0.26,0.02,-,-,-,Olahan,Ikan dsb,KZGMI-2001,Utama
925,GP065,"Gulai ikan, masakan",75.7,106,16.5,3.3,2.5,-,2,306,196,4.8,743,-,-,-,86,-,2760,0.32,-,-,-,-,Olahan,Ikan dsb,KZGMS-1993,Utama
926,GP066,"Gulai keumamah, masakan",81.4,110,5.9,8.2,3.2,-,1.3,32,96,1,335,121,0.2,0.9,-,-,-,0.33,0.04,-,-,100,Olahan,Ikan dsb,KGZMI-2001,Utama
927,GP067,"Gulai tiram, masakan",73.1,132,9,7.2,7.8,-,2.9,53,134,3.7,285,133,1.1,0.7,389,-,-,0.29,0.12,-,-,-,Olahan,Ikan dsb,KZGMI-2001,Utama
928,GP068,"Gurame asem manis, masakan",63.1,192,12.7,10.1,12.7,-,2.4,283,169,1.1,-,-,-,-,19,-,1440,0.1,-,-,-,-,Olahan,Ikan dsb,KZGPI-1990,Utama
929,GP069,"Ikan asar merah, masakan",69.2,146,17.7,5.9,5.6,-,1.6,100,240,4,170,310,0.3,1.4,224,-,-,-,-,-,-,-,Olahan,Ikan dsb,KZGMI-2001,Utama
930,GP070,Jambal goreng,13.4,286,48.5,9.2,2.3,-,26.6,207,457,3.3,-,-,-,-,109,-,160,0.4,-,3.1,-,-,Olahan,Ikan dsb,KZGMS-1993,Utama
931,GP071,"Jukku pallu kaloa, masakan",69.4,15,15.2,4.3,8.8,-,2.3,40,170,1.1,605,153,0.6,1.1,-,-,-,0.3,0.14,7.5,-,-,Olahan,Ikan dsb,KZGMI-2001,Utama
932,GP072,"Kaholeo, masakan",11.2,413,28.7,19.8,29.8,-,10.5,909,1291,-,-,1171,0.1,3.1,4236,-,-,1.34,0.03,5.7,-,-,Olahan,Ikan dsb,KZGMI-2001,Utama
934,GP074,"Model, masakan",83.9,79,2.2,4,8.6,-,1.3,8,33,0.8,147,34,0.1,0.5,-,-,-,0.16,0.02,-,-,-,Olahan,Ikan dsb,KZGMI-2001,Utama
935,GP075,"Mujahir acar kuning, masakan",43.1,330,17.8,23.4,12.1,1.1,4.6,154,357,5.3,-,-,-,-,24,-,4130,0.15,-,-,-,-,Olahan,Ikan dsb,KZGPI-1990,Utama
936,GP076,"Parede baleh, masakan",80,87,10.5,2.5,5.5,-,1.5,35,215,0.9,416,59,0.1,0.2,-,-,-,0.24,-,0.7,-,-,Olahan,Ikan dsb,KZGMI-2001,Utama
937,GP077,Pempek adaan,62.6,162,4.9,3,27.8,-,1.7,26,116,1,488,119,0.1,0.2,-,-,-,0.3,0.03,1,-,-,Olahan,Ikan dsb,KZGMI-2001,Utama
938,GP078,Pempek belida,61.4,156,4.2,1.4,31.6,0.2,1.4,100,55,3.3,-,-,-,-,-,-,-,0.03,-,-,-,-,Olahan,Ikan dsb,KZGPI-1990,Utama
939,GP079,Pempek kapal selam,63.4,152,4.5,2.3,28.2,-,1.6,19,115,1.6,628,91,0.1,0.2,-,-,-,0.2,0.03,1,-,-,Olahan,Ikan dsb,KZGMI-2001,Utama
940,GP080,Pempek kelesan,53,211,12.3,6.1,26.6,0.4,2,840,176,1.8,-,-,-,-,14,-,888,0.25,-,-,-,-,Olahan,Ikan dsb,KZGPI-1990,Utama
941,GP081,Pempek kulit,45.7,243,5.2,7.3,39.1,-,2.7,16,96,2,555,102,0.1,0.6,-,-,-,0.2,0.02,0.9,-,-,Olahan,Ikan dsb,KZGMI-2001,Utama
942,GP082,Pempek telur,62.4,156,4.7,2.7,28.3,-,1.9,13,83,1.3,448,48,0.1,0.6,-,-,-,0.2,0.05,1.1,-,-,Olahan,Ikan dsb,KZGMI-2001,Utama
943,GP083,Pempek tenggiri,56.3,173,7.2,1.2,33.4,0.2,1.9,164,80,3.1,-,-,-,-,-,-,-,0.02,-,-,-,-,Olahan,Ikan dsb,KZGPI-1990,Utama
944,GP084,"Pencok lele, masakan",47.5,372,7.8,36.3,3.5,-,4.9,289,295,5.3,-,-,-,-,64,-,12070,0.12,-,-,-,-,Olahan,Ikan dsb,KZGPI-1990,Utama
946,GP086,"Pindang kenari, masakan",80.1,124,9.5,9.6,-,-,2.8,120,220,1.3,370,270,0.3,1.2,18,381,-,-,-,0.1,-,-,Olahan,Ikan dsb,KZGMI-2001,Utama
950,GP090,Sate Bandeng,47.1,283,12.1,16.8,20.9,2,3.1,118,186,1.2,543,199,0.2,0.9,-,2,-,0.02,0.02,-,0.3,82,Olahan,Ikan dsb,BKP,Utama
951,GP091,"Sepi, masakan",66.1,88,7.9,1.6,10.6,-,13.8,924,350,2.3,873,258,1,1.1,783,-,-,-,-,-,-,-,Olahan,Ikan dsb,KZGMI-2001,Utama
952,GP092,Tekwan,86.7,53,1.9,0.9,9.4,-,1.1,9,41,1,174,42,-,-,99,-,-,0.1,0.02,0.4,-,-,Olahan,Ikan dsb,KZGMI-2001,Utama
953,GP093,"Teri balado, masakan",25.8,365,23.7,22.3,17.5,-,10.9,869,348,4,-,-,-,-,27,-,1567,0.13,-,-,-,-,Olahan,Ikan dsb,KZGPI-1990,Utama
954,GP094,Tumis bandeng,70.5,189,11.3,15.7,0.6,-,1.9,56,129,0.4,314,280,0.1,0.7,579,-,-,0.46,0.02,-,-,-,Olahan,Ikan dsb,KZGMI-2001,Utama
955,GP095,Tumis keumamah,45.7,300,14.5,20,15.5,4.5,4.3,-,-,-,-,-,-,-,-,8,-,0.63,0.04,-,7,100,Olahan,Ikan dsb,KGZMI-2001,Utama
1040,HP001,"Telur ayam, dadar, masakan",61.9,251,16.3,19.4,1.4,-,1,62,250,2.5,-,-,-,-,36,-,221,0.21,-,-,-,100,Olahan,Telur,KZGPI-1990,Utama
1042,HP003,"Telur bebek, dadar, masakan",55.1,301,20,23.7,-,-,1.2,71,600,9.2,-,-,-,-,122,-,613,0.35,-,-,-,100,Olahan,Telur,KZGPI-1990,Utama
1045,HP006,"Cucuru bayau, masakan",35,349,6.8,18.7,38.3,-,1.2,-,-,-,-,-,-,-,-,123,-,0.06,0.25,-,-,100,Olahan,Telur,KGZMI-2001,Utama
1046,HP007,"Kalio telur, masakan",79,193,10.6,12.4,9.7,-,1.4,148,246,3.8,540,-,-,-,160,-,3600,0.44,-,-,-,100,Olahan,Telur,KZGMS-1993,Utama
1058,JP001,Es krim,62.1,210,4,12.5,20.6,-,0.8,123,99,0.1,78,193.4,-,0.7,158,0.2,-,0.04,0.23,0.1,1,100,Olahan,Susu,DABM-1964,Snack
1059,JP002,Hangop,84,65,10,1,3.5,-,1.5,180,190,0.2,126,374.4,-,-,-,22,-,0.03,0.43,0.2,-,100,Olahan,Susu,DABM-1964,Snack
1060,JP003,Keju,38.5,326,22.8,20.3,13.1,-,5.3,777,338,1.5,1410,82.7,0.03,3.1,227,128,-,0.01,0.37,0.1,1,100,Olahan,Susu,DABM-1964,Snack
1061,JP004,Kwark (Quark),59,242,19,17,3,-,2,300,350,0.5,37,72.7,0.01,0.2,173,-,-,0.03,0.38,0,-,100,Olahan,Susu,DABM-1964,Snack
1062,JP005,"Susu asam untuk bayi, bubuk",2.5,418,19,9,65.5,-,4,800,600,7,188,486.5,-,-,303,83,-,1,1.31,0.7,30,100,Olahan,Susu,DABM-1964,Semua
1063,JP006,Susu bubuk,3.5,513,24.6,30,36.2,-,5.7,904,694,0.6,380,1330,0.02,4.1,476,118,-,0.29,1.39,1.6,6,100,Olahan,Susu,DABM-1964,Semua
1064,JP007,Susu kental manis,25,343,8.2,10,55,-,1.8,275,209,0.2,150,320,0.02,1,155,46,-,0.05,0.43,0.4,1,100,Olahan,Susu,DABM-1964,Semua
1065,JP008,Susu kental tak manis,73.7,138,7,7.9,9.9,-,1.5,243,195,0.2,140,303,-,-,121,-,-,0.05,-,-,1,100,Olahan,Susu,DABM-1964,Semua
1066,JP009,"Susu skim, bubuk",3.5,359,35.6,1,52,-,7.9,1300,1030,0.6,470,1745,0.04,4.1,-,10,-,0.35,1.05,1.2,7,100,Olahan,Susu,DABM-1964,Semua
1067,JP010,"Susu skim, segar",90.5,36,3.5,0.1,5.1,-,0.8,123,97,0.1,38,-,-,-,-,-,-,0.04,-,-,1,100,Olahan,Susu,DABM-1964,Semua
1068,JP011,"Yoghurt, segar",88,52,3.3,2.5,4,-,2.2,120,90,0.1,40,299,0.01,0.6,22,10,-,0.04,0.1,0.2,-,100,Olahan,Susu,DABM-1964,Snack
1069,JR001,"Kepala susu - krim, segar",72.5,204,2.6,20,4,-,0.9,97,77,0.1,-,-,-,-,252,191,-,0.03,0.2,0.1,1,100,Tunggal,Susu,DABM-1964,Snack
1070,JR002,Susu ibu - ASI,88.1,62,1.5,3.2,7,-,0.2,34,20,0.2,15,41,0.01,0.4,-,7,-,0.01,0.03,0.2,-,100,Tunggal,Susu,FCTEA-1972,Semua
1071,JR003,"Susu kambing, segar",85.9,64,4.3,2.3,6.6,-,0.9,98,78,2.7,35,160,0.33,0.1,38,-,-,0.06,0.45,0.3,1,100,Tunggal,Susu,DABM-1964,Semua
1072,JR004,"Susu kerbau, segar",73.8,160,6.3,12,7.1,-,0.8,216,101,0.2,82,-,-,0.3,24,-,-,0.04,0.07,-,1,100,Tunggal,Susu,DABM-1964,Semua
1074,JR006,"Susu sapi, segar",88.3,61,3.2,3.5,4.3,-,0.7,143,60,1.7,36,149,0.02,0.3,39,12,-,0.03,0.18,0.2,1,100,Tunggal,Susu,DABM-1964,Semua
1077,KP003,Santan (dengan air),80,122,2,10,7.6,1.4,0.4,25,30,0.1,9,162.5,0.16,0.4,-,-,-,0.02,-,0.5,2,100,Olahan,Lemak,DABM-1964,Semua
1078,KP004,Santan murni,54.9,324,4.2,34.3,5.6,-,1,14,45,1.9,18,514.1,0.37,0.9,-,-,-,0.02,-,0.5,2,100,Olahan,Lemak,DABM-1964,Semua
1079,KR001,"Kelapa setengah tua, daging, segar",70,180,4,15,10,2.4,1,8,55,1.3,4,317.8,0.29,2.9,-,-,10,0.05,0.01,0.1,4,53,Tunggal,Lemak,DABM-1964,Snack
1080,KR002,"Kelapa tua, daging, segar",46.9,359,3.4,34.7,14,4.7,1,21,98,2,3,293.9,0.44,1.1,-,-,-,0.1,-,-,2,53,Tunggal,Lemak,DABM-1964,Snack
1083,KR005,Lemak ikan,43.3,372,12,29.4,14.4,-,0.3,20,230,32.7,60,52,0.4,1.1,-,-,-,0.49,0.13,-,-,100,Tunggal,Lemak,KZGMI-2001,Semua
1093,MP001,"Coklat manis, batang",1.4,527,2,29.8,62.7,6.5,4.1,63,287,2.8,6,499.5,-,0,-,-,30,0.03,0.02,-,-,100,Olahan,Gula,DABM-1964,Snack
1094,MP002,"Coklat pahit,batang",2.3,615,5.5,42.6,29.2,10.8,10.1,98,446,4.4,20,708.3,1.7,3.3,-,2,60,0.05,0.08,1,-,100,Olahan,Gula,DABM-1964,Snack
1095,MP003,"Coklat susu, batang",1,565,9,35,53.6,3.4,1.4,200,200,2,100,405.5,0.49,2.3,-,54,30,0.08,0.45,0.5,-,100,Olahan,Gula,DABM-1964,Snack
1100,MP008,"Jam, selai",34,239,0.5,0.6,64.5,1,0.4,20,20,1,30,73.1,0.09,-,-,-,-,0.01,0.07,0,-,100,Olahan,Gula,DABM-1964,Semua
1102,MP010,Madu,20,294,0.3,-,79.5,0.2,0.2,5,16,0.9,6,26.9,0.04,0.2,-,-,-,-,0.04,0.1,4,100,Olahan,Gula,DABM-1964,Semua
1103,MP011,Markisa squash,46.7,217,2.5,1,49.6,-,0.2,6,83,0.6,14,65,-,0.1,-,23,75,0.07,0.02,-,14,-,Olahan,Gula,KZGMI-2001,Snack
1104,MP012,"Markisa squash, BD",74.4,104,1.2,0.5,23.7,-,0.2,1,88,0.5,40,40,-,0.1,-,7,40,0.2,0.02,-,12,-,Olahan,Gula,KZGMI-2001,Snack
1148,QR001,"Kelapa muda, air, segar",95.5,17,0.2,0.1,3.8,-,0.4,15,8,0.2,1,149,0.04,0.1,-,-,-,-,-,-,1,100,Tunggal,Minuman,DABM-1964,Semua
3,AP003,Tapai beras,75.5,99,1.7,0.3,22.4,-,0.1,4,19,-,26,2,0.1,0.5,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001,Snack
26,AP026,Amparan tatak,58.4,191,1.3,5.5,34,-,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001,Snack
27,AP027,"Apang kukus, kue",49.5,202,3,0.3,46.7,-,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001,Snack
28,AP028,"Apem, kue",63.1,148,2,0.5,33.9,-,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001,Snack
33,AP033,Baruasa,5.3,417,6.5,8.2,79.3,-,0.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001,Snack
36,AP036,Bingka,44.4,273,5.3,10.6,39.1,-,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001,Snack
37,AP037,Bobengka,46.3,225,5.3,2.6,45.2,-,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001,Snack
38,AP038,Bolu peca,55.6,197,3.3,4.6,35.6,-,0.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001,Snack
42,AP042,Cangkuning,57.5,204,2.8,7.5,31.4,-,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001,Snack
48,AP048,Gemblong,36.2,274,1.7,5.4,55.5,2.2,1.2,69,55,3.3,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGPI-1990,Snack
54,AP054,Kakicak,43.9,296,3.4,15.1,36.7,-,0.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001,Snack
59,AP059,Kereput,3.5,580,4.8,39.6,51.1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001,Snack
61,AP061,Ketupat kandangan,78.5,109,2.2,5.2,13.4,-,0.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001,Utama
62,AP062,Koya,13.2,366,4.2,4.3,77.5,0.8,0.8,153,222,7,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001,Snack
64,AP064,Koyabu,44.2,241,3.4,4.3,47.2,-,0.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001,Snack
66,AP066,Kue bangen,5.6,442,3.3,14.7,74.2,-,2.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001,Snack
67,AP067,Kue gelang,7.1,448,5.8,16.1,70,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001,Snack
70,AP070,Kue koa,14.5,340,4.8,0.4,79.3,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001,Snack
71,AP071,Kue ku temu,46.2,214,3.5,0.2,49.6,-,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001,Snack
73,AP073,Kue pelita,71,141,5.3,5.5,17.6,-,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001,Snack
77,AP077,Laksa/Putu mayang,73.2,121,1.7,3.4,21.1,-,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001,Snack
80,AP080,Manan samin,27.1,379,3.4,18.1,50.6,-,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001,Snack
94,AP094,Onde-onde,27.7,336,4,9.8,57.9,-,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001,Snack
95,AP095,Padamaran,67.6,171,3.9,8.9,18.8,-,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001,Snack
98,AP098,Pundut nasi,77.8,104,1.9,4.1,15.1,0.4,1.1,26,100,1.5,74,174,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001,Utama
99,AP100,Putri selat,66.6,163,2.2,6.5,23.8,-,0.9,72,3,4,6,68,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001,Snack
100,AP101,Putu sopa,50.7,215,3.3,4.1,41.1,-,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001,Snack
