No,Kode,Makanan,Air(g),Energi(Kal),Protein(g),Lemak(g),Karbohidrat(g),Serat(g),Abu(g),Kalsium(mg),Fosfor(mg),Besi(mg),Natrium(mg),Kalium(mg),Tembaga(mg),Seng(mg),Retinol (mcg),β-karoten(mcg),Karoten total(mcg),Vit B1(mg),Vit B2(mg),Niasin(mg),Vitamin C(mg),BDD(%),Mentah/Olahan,Kelompok Makanan,Sumber TKPI 2019,Utama/Snack
93,AP093,Nopia spesial,11.5,387,5.3,7.6,74.3,0.3,1.3,903,133,4.2,-,-,-,-,-,-,512,0.17,-,-,-,100,Olahan,Serealia,KZGPI-1990,Snack
96,AP096,Pastel,38.3,307,4.5,13.3,42.4,-,1.5,296,53,2.5,-,-,-,-,-,-,5360,0.15,-,-,-,100,Olahan,Serealia,KZGMS-1993,Snack
97,AP097,Pulut,49.1,216,2.6,3.1,44.4,-,0.8,6,70,3.8,100,22,0.4,1.3,-,-,-,0.14,-,-,-,100,Olahan,Serealia,KZGMI-2001,Snack
101,AP102,Renggi goreng,8.8,471,4.7,21.8,64.1,6.4,0.6,4,80,1.1,126,29,0.9,1.3,-,-,-,0.53,0.05,8.2,-,100,Olahan,Serealia,KZGMI-2001,Snack
102,AP103,Roti boong,34,341,5.5,16.2,43.3,-,1,15,65,1.1,161,41,-,0.9,-,-,-,0.4,0.3,2.4,-,100,Olahan,Serealia,KZGMI-2001,Snack
103,AP104,Roti warna sawo matang,40,249,7.9,1.5,49.7,-,0.9,20,140,2.5,500,91,-,-,-,-,-,0.15,-,-,-,100,Olahan,Serealia,DABM-1964,Snack
105,AP106,Spaghetti,66.1,139,7.4,2.1,22.6,-,2.1,109,53,4.7,-,-,-,-,42,-,940,0.35,-,-,-,100,Olahan,Serealia,KZGMS-1993,Utama
108,AP109,Suwir-suwir,13.4,347,0.5,0.9,84.2,0.8,1,42,40,4.3,-,-,-,-,1,-,240,0.13,-,0.9,-,100,Olahan,Serealia,KZGPI-1990,Utama
110,AP111,Wajit camilan,27.1,303,6.3,2.7,63.3,6.9,0.6,61,302,5.5,-,-,-,-,-,-,-,0.03,-,-,-,100,Olahan,Serealia,KZGPI-1990,Snack
111,AP112,Widaran,7,424,1.3,10.7,80.7,0.2,0.3,49,88,2.5,-,-,-,-,21,-,440,0.13,0.2,2.2,-,100,Olahan,Serealia,KZGPI-1990,Snack
112,AP113,Wingko babat,29.7,355,3.2,15.1,51.4,2.4,0.7,47,63,1.1,-,-,-,-,-,-,-,0.08,0.08,-,-,100,Olahan,Serealia,KZGPI-1990,Snack
113,AP114,Yangko,37.4,254,3,1.1,58.1,0.8,0.4,184,24,2.6,-,-,-,-,-,-,96,0.15,-,-,-,100,Olahan,Serealia,KZGPI-1990,Snack
139,BP004,"Belitung, talas, kukus",63.1,145,1.2,0.4,34.2,1,1.1,21,48,0.9,7,552.6,0.2,0.9,-,-,-,0.08,0.1,2.3,1,100,Olahan,Umbi,KZGPI-1990,Utama
140,BP005,"Bentul, talas, kukus",81.1,71,2.3,0.3,15.4,0.5,0.9,29,26,0.6,-,201,0.2,0.6,-,-,-,0.06,-,-,21,100,Olahan,Umbi,KZGPI-1990,Utama
141,BP006,"Gadung, ubi, kukus",77.4,88,0.6,0.3,20.9,0.9,0.8,26,47,0.4,6,584,0.2,0.2,-,-,-,0.03,-,0.4,-,100,Olahan,Umbi,KZGPI-1990,Utama
142,BP007,"Ganyong, rebus",74.1,100,0.8,0.2,23.8,0.9,1.1,15,65,0.9,-,-,-,-,-,-,-,0.04,-,-,6,100,Olahan,Umbi,KZGPI-1990,Utama
143,BP008,Ketela pohon/singkong kukus,61.5,153,1.2,0.3,36.4,1.3,0.6,56,22,0.4,2,345.3,0.3,0.1,-,-,-,-,-,0.3,20,100,Olahan,Umbi,KZGPI-1990,Utama
144,BP009,"Suweg, talas, kukus",75.5,93,1.5,0.1,21.9,0.9,1,50,58,0.8,6,350.3,0.1,0.1,-,-,283,0.09,-,0.3,-,100,Olahan,Umbi,KZGPI-1990,Snack
145,BP010,"Talas bogor, kukus",69.2,120,1.5,0.3,28.2,0.7,0.8,31,63,0.7,11,498,0.2,0.6,-,-,-,0.05,0.6,0.8,2,100,Olahan,Umbi,KZGPI-1990,Utama
146,BP011,"Ubi jalar, kuning, kukus",74.2,100,0.7,0.3,23.8,1,1,44,46,0.4,3,0.8,0.1,0.2,-,819,4427,-,0.1,0.6,16,100,Olahan,Umbi,KZGPI-1990,Utama
